ID,Name of the organisation,DESCRIPTION,KEYWORDS,ADDRESS,EIRCODE,ONLINE ONLY SERVICE,WEBSITE,EMAIL,TELEPHONE,CATEGORIES,SUPPORT,latitude,longitude,DropIn_Info,
59,The Warehouse Newtownards,"We are a non-profit charity/community hub feeding and helping around 700 people \family per week. Providing drop ins, breakfasts, lunches, frozen meals, support, and signposting. Our client’s range in age, gender, ability, and ethnic background. we offer support services for people facing a crisis, poverty, loneliness, isolation, and mental health issues. We are located in a central town location, near a direct bus route, shopping centre, and within walking distance to most local housing developments, ","Free food provision, signposting, community connection ","45-47 South Street, Newtownards, BT23 4JT",BT23 4JT,No,https://thewarehousenewtownards.com/,megan.weimann@thewarehousenewtownards.com,07872342045,Information & Advice;Employment & Training;Wellbeing & Mental Health;Community & Family;Culture & the Arts;Community Food Hub ;,Multiple services,54.592,-5.699,"Available: Tuesday;Wednesday;Thursday;Friday;, Tuesday - Thursday 8.30-2pm 
Friday- 8.30-1pm ",
60,Crosscare Information & Advocacy Service ,"Information and support around homelessness, risk of homelessness, social welfare, immigration system and family reunification. Support by email, phone or appointment.","Help with applications for social welfare
Social welfare refusal
Help with applications for social housing
At risk of homelessness
Homeless prevention 
Immigration permission
Irish Diaspora 
Family Reunification ","Crosscare, 2 St Mary's Place North, Dublin 7, D07 Y768 ",D07 Y768 ,No,Crosscare.ie ,info@crosscare.ie,018726775 ,Information & Advice;,Information & Advice,53.355,-6.270,N/A,
61,Young Irish Film Makers,YIFM is a national organisation working with young people and those who work with them. We provide filmmaking and animation workshops for young people aged from 10 years up to 24 years.   ,"Film Workshops, Animation Workshops, Local Training Initiative, Filmmaking, Animation, School Filmmaking workshops, Nationwide delivery ","Young Irish Film Makers, St. Josephs Studios, Waterford Road, Kilkenny, R95 D8HT",R95 D8HT,No,www.yifm.com,info@yifm.com,05677 64677,Youth Services;Education;Culture & the Arts;Youth Film & Animation;,Youth Services,52.644,-7.250,N/A,
62,"Saint Patrick's Cathedral, Dublin","National Cathedral of Church of Ireland- a site of significant theological,  social, economic and political historical significance. The Cathedral is a place of welcome for all faiths and none. Services daily: Matins, Eucharistic and Choral Evensong. Many events are hosted throughout the year. ",Contact Community Officer to arrange a visit the Cathedral ,"Saint Patrick's Close,  Dublin 8",D08 H6X3,No,www.stpatrickscathedral.ie,Community@stpatrickscathedral.ie,014539472 ext 209,Education;Tour experiences and workshops ;,Culture & the Arts,53.339,-6.274,N/A,
63,Participation and the Practice of Rights,PPR is a community organising NGO which hosts the Kind Economy campaign and Anaka Women's Collective. PPR facilitates and supports the most marginalised communities to use human rights based approaches to realise their social and economic rights.,"Campaigning against the hostile environment, supporting young people to access education, supporting people to campaign for the right to work, supporting people in transitions from Mears to NIHE accommodation, campaigning for rights.","Community House, Citylink Business Park, 6a Albert Street, Belfast",BT12 4HQ,No,www.nlb.ie,info@pprproject.org,02890 313315,Housing support;Education;Wellbeing & Mental Health;Public Awareness & Activism;,Public Awareness & Activism,54.597,-5.940,N/A,
64,Limerick Citizens Information Centre,"We provide clear information and advice on rights across areas such as social welfare, health, housing, employment.  We can provide advocacy within our resources and in line with our advocacy policy.  We ensure that our staff are trained to deliver a professional and person-centred service.  We review and evaluate our service to ensure high standards through customer comments, surveys and feedback.","Information, advice, help with formsadvocacy, social welfare, employment, health services, immigration, citizenship","Ground Floor, 23-27 Riverstone House, Limerick, ",V94 3T28,No,www.citizensinformation.ie,limerick@citinfo.ie,0818 075780,"Information & Advice;Advocacy, Community talks/presentations.;",Information & Advice,52.663,-8.639,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, Contact office for drop-in hours as they vary in different offices.",
65,LAIT (Local Authority Integration Team) Donegal,"LAITs promote integration from day one by helping international protection applicants, refugees, beneficiaries of temporary protection access essential services& supports. Through service mapping, clinics, tailored coordination, LAITs ensure individuals& families can fully engage with their communities and thrive in their new environment.","Integration
Support","County House, Lifford, Co Donegal",F93 Y622,No,https://www.donegalcoco.ie/en/services/community/refugee-response/integration/,integration@donegalcoco.ie ,074 9153900,Information & Advice;,Multiple services,54.834,-7.482,N/A,
66,Connecting Minds Project ,"Connecting Minds Project is a peacebuilding and mental health organisation using arts, storytelling, and mindfulness to support refugees, asylum seekers, and local communities. We deliver trauma-informed, culturally sensitive workshops that foster inclusion, wellbeing, and shared education across schools, community groups, and youth programmes in Northern Ireland and Miami.","Mental health support, mindfulness, arts workshops, storytelling, cross-community, refugee support, youth programmes, trauma-informed, peacebuilding, cultural exchange, education, integration, shared education, identity workshops, wellbeing activities, meditation, creative expression, community building",NO,BT32,No,www.comnectingmindsproject.org,Info@connectingmindsproject.org,+447774508363,Information & Advice;Employment & Training;Education;Language Support;Wellbeing & Mental Health;Community & Family;Youth Services;Public Awareness & Activism;Culture & the Arts;Environment;Holistic Heath - Mindfulness and Trauma informed Practices;,Multiple services,54.317,-6.373,N/A,
67,Finn Valley Family Resource Centre,"Finn Valley FRC offers a community space that is committed to providing individuals and families with a range of activities that will support and nurture family and community life in the Ballybofey/Stranorlar area.  Services offered include; Family Support,, Household Management, Meitheal, Gambling Therapy, Parenting Programmes, Counselling Services and Adult Education Classes. ","Parenting Support, Information, Help with Forms, Signposting.","Ceoil na Coille. Drumboe Avenue, Stranorlar. County Donegal ",F93 ET28,No,DPFSS.ie,admin@dpfss.ie,0749131245,Information & Advice;Education;Wellbeing & Mental Health;Community & Family;Family Support;,Family Support,54.805,-7.777,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 9 to 5 Mon to Thurs & 9 to 11 on Friday",
68,Cuan Saor Women's Refuge and Support Services CLG,"Cuan Saor provides free and confidential services to Women and Children experiencing Domestic Abuse - Refuge accommodation (short-term crisis accommodation) 24 Hour/365 day Freephone helpline Support and information (drop-in or by appointment) Counselling Outreach to designated clinics in South Tipperary area Court Accompaniment Service Aftercare, Training and Awareness-raising Child and Family Support","Refuge accommodation (short-term crisis accommodation)
24 Hour/365 day Freephone helpline
Support and information (drop-in or by appointment)
Counselling
Outreach to designated clinics in South Tipperary area
Court Accompaniment Service
Aftercare
Training and Awareness-raising
Child and Family Support","Clonmel, Co. Tipperary","Clonmel, Co. Tipperary",No,https://cuansaor.org,support@cuansaor.org,1800 576757,"Information & Advice;Community & Family;Housing support;Education;Public Awareness & Activism;Emergency & Homelessness Support (e.g. food, shelter, day services);",Multiple services,52.359,-7.745,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;, Drop in/By Appointment - Different times for different locations.",
69,The Little Flower Penny Dinners,We provide free hot meals Monday to Friday from 12-1pm. Everyone Welcome.,"Food, poverty, meals,",11 Meath Street Dublin ,D08 AC91,No,www.littleflower.ie,info@littleflower.ie,01 453 6621,"Emergency & Homelessness Support (e.g. food, shelter, day services);",Meals,53.342,-6.282,"Available: Monday;Tuesday;Wednesday;Thursday;Friday;, 12-1pm",
70,Croí na Gaillimhe Resource Centre SVP,Croí na Gaillimhe is an intercultural and intergenerational resource centre. It runs weekly conversational English classes from Sept-June. Other programmes are also run on occasion throughout the year. ,english class,1 Mill St. Galway,H91 AK65,No,https://www.svp.ie/stores/croi-na-gaillmhe-resource-centre/,cait.gleeson@svp.ie,091 895203,Community & Family;Language Support;,Language Support,53.272,-9.079,N/A,
71,Dignity Partnership ,"Dignity Partnership (DiP) is a work integration social enterprise that delivers empathy-led non-formal  education programmes that foster integration and inclusion for migrants in Irish society. Also, provides workshops to support Agencies, volunteers, community educators on understanding of refugee support work and capacity building.","Access to third level education, understand the Irish culture, skills to integration, third level education supports",Portlaoise Co. Laois ,None,No,https://dignitypartners.company/,dignitypartners@gmail.com,+353892546155,Information & Advice;Education;Wellbeing & Mental Health;Culture & the Arts;,Multiple services,53.038,-7.334,N/A,
